## Sat Oct 30 14:10:38 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
1 20 1000 1 59.5303 133.3634 135.931 0.002477242
1 20 1000 1 55.82733 129.7499 132.334 0.2463334
1 20 1000 1 54.05509 127.9351 130.4721 3.174322e-06
1 20 1000 1 56.21192 130.1461 132.9256 0.0007099837
1 20 1000 1 57.07351 130.9463 133.475 1.280048e-15
1 20 1000 1 56.16532 130.0895 132.2026 0.003694756
1 20 1000 1 87.63037 160.7532 162.3596 0.0879835
1 20 1000 1 52.58676 126.511 129.0536 2.821258e-06
1 20 1000 1 54.74215 128.6591 131.0764 2.692421e-07
1 20 1000 1 54.26706 128.1713 130.5737 6.718864e-08
1 20 1000 1 54.20193 128.0956 130.676 4.296108e-09
1 20 1000 1 52.83976 126.775 129.7057 5.186711e-09
1 20 1000 1 52.80665 126.7761 129.4588 6.301711e-08
1 20 1000 1 54.21112 128.1133 130.8013 0.00022847
1 20 1000 1 54.42147 128.2978 130.8998 1.875264e-07
1 20 1000 1 58.20811 132.0478 134.8877 1.864399e-05
1 20 1000 1 56.44544 130.3518 132.8445 9.82984e-08
1 20 1000 1 58.61027 132.436 134.9804 2.301351e-06
1 20 1000 1 57.87756 131.8066 134.648 9.543388e-09
1 20 1000 1 58.4447 132.3322 135.0317 0.0002493417
1 20 1000 1 56.06298 129.9712 132.6268 0.0001455037
1 20 1000 1 67.21864 140.9049 143.0516 5.998188e-09
1 20 1000 1 55.46385 129.3523 131.9243 4.63139e-08
1 20 1000 1 71.78137 145.4479 147.8922 1.090601e-07
1 20 1000 1 55.56217 129.3847 131.8441 0.09414743
1 20 1000 1 87.53627 160.626 162.6615 8.938621e-07
1 20 1000 1 58.29335 132.2232 134.6914 0.0268945
1 20 1000 1 56.52294 130.4056 132.7654 2.718476e-08
1 20 1000 1 58.42413 132.3269 134.8586 0.002389233
1 20 1000 1 57.55195 131.4736 133.9699 5.627845e-10
1 20 1000 1 53.35598 127.3224 129.833 8.971897e-06
1 20 1000 1 54.23199 128.1391 130.4697 8.634554e-06
1 20 1000 1 50.85612 124.7724 127.3049 4.165946e-10
1 20 1000 1 58.79868 132.6665 134.9373 0.01093532
1 20 1000 1 56.94957 130.9175 133.3486 0.2731278
1 20 1000 1 55.44123 129.3577 132.0303 1.575087e-05
1 20 1000 1 55.93848 129.8512 132.4846 0.04049958
1 20 1000 1 57.47635 131.3399 133.6325 4.177073e-06
1 20 1000 1 58.41343 132.264 134.9799 0.0004423802
1 20 1000 1 77.61948 151.0189 153.0556 3.227805e-08
1 20 1000 1 54.98379 128.904 131.5433 0.0004957835
1 20 1000 1 56.68853 130.4098 132.761 0.1873757
1 20 1000 1 57.92068 131.8323 134.0939 3.377215e-09
1 20 1000 1 57.87648 131.7829 134.5684 0.002903488
1 20 1000 1 57.859 131.7753 133.9819 6.771675e-06
1 20 1000 1 66.72112 140.4802 142.4588 0.2672295
1 20 1000 1 55.22671 128.9597 132.1048 0.001918179
1 20 1000 1 55.15975 129.0581 131.5383 1.796791e-09
1 20 1000 1 58.8045 132.7455 135.7478 3.058145e-11
1 20 1000 1 53.59709 127.5458 130.286 7.454097e-05
1 20 1000 1 59.54713 133.3577 135.8455 5.189214e-11
1 20 1000 1 61.18499 135.0549 137.7909 0.09129851
1 20 1000 1 56.88481 130.7661 133.2374 1.63566e-11
1 20 1000 1 57.92321 131.8474 134.3774 0.08687113
1 20 1000 1 78.77076 152.2756 154.4399 0.000749832
1 20 1000 1 56.15432 130.0307 132.4421 0.9351189
1 20 1000 1 62.09647 135.9913 138.6003 1.603435e-07
1 20 1000 1 54.75074 128.7029 131.3384 1.584077e-10
1 20 1000 1 54.72577 128.6483 130.8854 1.133682e-08
1 20 1000 1 59.60402 133.4789 136.4345 0.001187183
1 20 1000 1 52.2708 126.2231 128.9732 0.006188881
1 20 1000 1 57.65225 131.5518 134.0336 0.2963857
1 20 1000 1 59.69315 133.5819 136.0478 7.874041e-08
1 20 1000 1 55.96016 129.5412 132.1305 1.701645e-07
1 20 1000 1 159.4814 227.2297 226.6105 0.0001165569
1 20 1000 1 56.87198 130.7862 133.183 0.03874153
1 20 1000 1 54.9785 128.8741 131.2082 0.0003371617
1 20 1000 1 58.92267 132.8225 135.5012 3.777666e-05
1 20 1000 1 59.11005 133.0272 135.5949 0.001849169
1 20 1000 1 56.61311 130.4906 132.9277 0.0009688368
1 20 1000 1 57.5901 131.5071 133.8517 2.44786e-06
1 20 1000 1 54.97469 128.8111 131.5137 0.0002845297
1 20 1000 1 53.8381 127.7881 130.9563 0.0002972629
1 20 1000 1 54.22052 128.1428 130.4452 2.468281e-06
1 20 1000 1 59.78641 133.7208 136.5729 4.66266e-07
1 20 1000 1 55.68117 129.6187 132.878 6.320281e-06
1 20 1000 1 64.78246 138.5258 140.5482 0.2197037
1 20 1000 1 59.12997 132.9617 135.4318 5.372714e-06
1 20 1000 1 58.83442 132.7345 135.2139 1.878325e-06
1 20 1000 1 110.1822 182.0176 183.2942 6.410764e-10
1 20 1000 1 61.17741 135.0934 137.6986 0.002084866
1 20 1000 1 86.48178 158.4194 159.8844 0.004287512
1 20 1000 1 55.63572 129.5673 132.0733 2.83864e-06
1 20 1000 1 58.46369 132.3639 134.5922 1.635125e-05
1 20 1000 1 61.29574 134.9683 137.3341 0.9998406
1 20 1000 1 53.11636 126.9654 129.7443 6.039973e-08
1 20 1000 1 61.13961 134.9467 137.3262 0.05335593
1 20 1000 1 53.63845 127.571 130.1508 3.662205e-06
1 20 1000 1 60.50042 134.1336 136.6469 0.01412262
1 20 1000 1 54.42975 128.0039 130.5212 6.16948e-07
1 20 1000 1 56.2945 130.2263 132.7915 0.0005432681
1 20 1000 1 55.75441 129.6557 132.1638 0.0001416741
1 20 1000 1 59.41676 133.2632 135.7132 4.253925e-06
1 20 1000 1 59.15792 133.0629 135.2836 9.84421e-07
1 20 1000 1 61.08991 135.0104 137.755 8.830678e-15
1 20 1000 1 58.94087 132.8291 135.2507 0.2316434
1 20 1000 1 155.0544 209.4551 209.3992 0.0007510977
1 20 1000 1 55.77852 129.6418 132.301 1.327876e-08
1 20 1000 1 55.23142 129.1374 131.6649 0.001114203
1 20 1000 1 67.75725 141.6312 144.6513 1.440059e-05
2 20 1000 1 48.425 121.689 124.3553 0.06189026
2 20 1000 1 72.14934 143.1758 145.4603 0.1074165
2 20 1000 1 72.91479 140.585 143.1486 1.038888e-08
2 20 1000 1 45.66504 119.079 121.6532 0.9421001
2 20 1000 1 121.5843 165.387 165.4529 0.8339392
2 20 1000 1 81.44374 141.1974 142.2406 0.004542756
2 20 1000 1 66.52431 135.0292 137.3689 1.269079e-05
2 20 1000 1 96.05501 157.0955 158.4347 5.953852e-11
2 20 1000 1 73.2826 140.3221 142.46 0.9998193
2 20 1000 1 62.32803 133.3751 136.1593 0.002333591
2 20 1000 1 58.53721 130.7951 133.1865 0.7192803
2 20 1000 1 99.2657 156.3627 157.5757 0.9944456
2 20 1000 1 44.10831 117.7944 120.4837 0.2902208
2 20 1000 1 43.85737 117.684 120.3197 5.523787e-11
2 20 1000 1 46.45843 120.0762 122.6522 0.0002365409
2 20 1000 1 68.10597 132.575 133.0423 0.9824179
2 20 1000 1 146.361 188.2984 188.4166 4.039449e-08
2 20 1000 1 62.09334 131.8925 134.4656 0.0009513363
2 20 1000 1 98.55527 161.8607 163.6636 0.001252857
2 20 1000 1 41.49467 115.4514 118.1133 1.968042e-08
2 20 1000 1 52.84195 124.9037 127.4823 0.009755103
2 20 1000 1 64.7326 130.8167 133.5648 0.9395843
2 20 1000 1 60.53038 129.6656 132.0145 0.9986303
2 20 1000 1 63.51469 132.5408 135.297 3.569891e-06
2 20 1000 1 87.68101 152.9581 154.7451 0.7086777
2 20 1000 1 70.4636 138.5977 140.7812 5.905198e-08
2 20 1000 1 50.77674 124.1928 126.8141 0.01096617
2 20 1000 1 89.66763 146.7623 147.4898 0.5284766
2 20 1000 1 48.83448 121.3923 123.7977 0.002758191
2 20 1000 1 64.62877 133.124 135.4141 3.26372e-07
2 20 1000 1 46.6231 119.9996 122.792 0.002213272
2 20 1000 1 56.82254 128.3958 130.7406 0.004102709
2 20 1000 1 44.62272 118.1195 120.7725 0.007202892
2 20 1000 1 44.98808 118.5807 121.3819 0.002105769
2 20 1000 1 57.84231 127.8688 130.1169 8.355458e-06
2 20 1000 1 51.94156 124.9482 127.4351 0.005777176
2 20 1000 1 48.37819 120.3544 123.0195 0.000302103
2 20 1000 1 61.11799 131.2489 134.0863 0.9936472
2 20 1000 1 203.5835 165.8153 165.5238 0.003450733
2 20 1000 1 97.7699 141.8501 144.1989 0.01509604
2 20 1000 1 56.67158 128.1406 130.5647 0.3140938
2 20 1000 1 49.69893 122.0609 124.3513 0.9998003
2 20 1000 1 48.63426 121.8226 124.3145 0.01319508
2 20 1000 1 70.14599 139.8068 142.0612 0.0001568919
2 20 1000 1 87.77537 154.4711 156.0492 0.9734709
2 20 1000 1 65.7357 135.3009 137.4354 0.5740974
2 20 1000 1 56.73365 129.3133 131.7126 0.0003740861
